python3 -m cProfile -s cumtime src/main.py >> profile.txt
         1015011 function calls (1009599 primitive calls) in 7.412 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.083    0.009 six.py:80(_import_module)
        1    0.000    0.000    0.083    0.083 six.py:117(__getattr__)
     8668    0.032    0.000    0.081    0.000 framing.py:71(__new__)
   223/83    0.004    0.000    0.080    0.001 sre_parse.py:407(_parse_sub)
      719    0.006    0.000    0.080    0.000 selector_events.py:721(_read_ready)
      903    0.013    0.000    0.079    0.000 selectors.py:428(select)
34139/34066    0.063    0.000    0.079    0.000 {built-in method builtins.isinstance}
   494/83    0.017    0.000    0.078    0.001 sre_compile.py:64(_compile)
   264/90    0.021    0.000    0.078    0.001 sre_parse.py:470(_parse)
     7198    0.035    0.000    0.076    0.000 locks.py:162(acquire)
     8686    0.045    0.000    0.075    0.000 pokemon.py:129(update_formatted_condition)
  345/342    0.004    0.000    0.072    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     3600    0.024    0.000    0.072    0.000 locks.py:53(__iter__)
        1    0.000    0.000    0.071    0.071 client.py:69(<module>)
     3553    0.020    0.000    0.070    0.000 random.py:255(choice)
      309    0.048    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     7198    0.041    0.000    0.064    0.000 locks.py:209(_wake_up_first)
     3600    0.013    0.000    0.060    0.000 locks.py:36(__exit__)
      903    0.058    0.000    0.058    0.000 {method 'poll' of 'select.epoll' objects}
     2113    0.011    0.000    0.057    0.000 {method 'set_result' of '_asyncio.Future' objects}
      309    0.004    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      340    0.001    0.000    0.057    0.000 inspect.py:3055(signature)
     4869    0.017    0.000    0.056    0.000 enum.py:267(__call__)
        1    0.000    0.000    0.055    0.055 __init__.py:15(<module>)
        1    0.000    0.000    0.055    0.055 parser.py:5(<module>)
      340    0.001    0.000    0.055    0.000 inspect.py:2803(from_callable)
     3082    0.018    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        1    0.000    0.000    0.054    0.054 feedparser.py:20(<module>)
      340    0.006    0.000    0.054    0.000 inspect.py:2181(_signature_from_callable)
        1    0.000    0.000    0.053    0.053 context.py:1(<module>)
     3598    0.012    0.000    0.053    0.000 locks.py:84(__aexit__)
        1    0.001    0.001    0.053    0.053 typing.py:1(<module>)
     8689    0.034    0.000    0.053    0.000 __init__.py:1544(isEnabledFor)
    33029    0.052    0.000    0.052    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.051    0.051 cookiejar.py:26(<module>)
      309    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
     3598    0.014    0.000    0.049    0.000 locks.py:77(__aenter__)
     2146    0.013    0.000    0.047    0.000 base_events.py:570(call_soon)
